1stFlrSF,BsmtExposure,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,KitchenQual,LotArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
2515,No,1219,816,484,2515,TA,32668,0,3,6,2035,1957,1975,200624
958,No,403,238,240,1578,Fa,9490,0,7,6,806,1941,1950,133000
979,No,185,524,352,1203,Gd,7015,0,4,5,709,1950,1950,110000
1156,No,392,768,505,2022,TA,10005,117,5,7,1160,1977,1977,192000
525,No,0,525,264,1092,TA,1680,0,5,6,525,1971,1971,88000
1022,No,247,310,280,1022,TA,7200,30,4,5,1022,1910,2006,85000
1464,Gd,929,556,754,1464,Gd,15256,160,5,8,1485,2007,2007,282922
780,No,0,780,544,1375,Gd,9000,162,6,6,780,1937,1950,141000
2411,Av,2096,300,813,4476,Ex,15623,78,5,10,2396,1996,1996,745000
551,No,239,312,480,1102,Gd,5105,60,5,7,551,2004,2004,148800
1352,No,0,1352,466,1352,Gd,4230,241,5,7,1352,2006,2007,208900
1680,No,0,1680,528,1680,TA,11500,0,6,5,1680,1976,1976,136905
1005,No,694,284,490,1983,Gd,10762,0,5,7,978,1999,1999,225000
900,Av,769,95,288,900,TA,7838,144,5,5,864,1967,1967,123000
1082,No,336,746,240,1082,TA,11664,130,5,6,1082,1948,1950,119200
1314,No,922,392,294,1314,TA,8400,0,6,5,1314,1957,1957,145000
1061,No,674,76,564,1923,Gd,10186,39,5,7,750,1992,1992,190000
990,No,588,402,0,990,TA,8070,0,5,4,990,1994,1995,123600
1228,No,0,1228,271,1228,Gd,8544,65,6,5,1228,1966,2006,149350
916,No,299,611,164,1826,Ex,2500,0,8,7,910,1915,2005,155000
910,No,507,403,720,1385,TA,8520,0,4,5,910,1952,1952,166000
848,Gd,662,186,420,848,Gd,4438,0,5,6,848,2004,2004,144500
816,Gd,104,0,516,816,TA,8472,0,5,5,816,1963,1963,110000
702,No,0,702,343,1481,TA,8125,36,5,6,702,1994,1995,174000
943,No,442,459,540,1876,Gd,9120,69,6,6,901,1974,1974,185000
916,No,216,700,424,1742,Gd,17671,169,9,8,916,1882,1986,168000
769,No,378,378,440,1573,Gd,2117,32,5,6,756,2000,2000,177500
630,Av,131,0,0,630,TA,1936,0,6,4,630,1970,1970,84500
1698,No,1234,464,768,1698,Ex,13286,64,5,9,1698,2007,2008,320000
832,No,442,390,336,1216,TA,8480,0,5,5,832,1947,1950,118500
1776,No,0,1584,888,1776,TA,11475,25,5,5,1584,1958,1958,110000
1006,No,513,227,425,1775,Gd,9317,72,5,7,740,1993,1993,213000
912,Av,773,115,470,912,TA,7540,0,6,6,888,1978,1978,156000
1145,Av,655,490,836,2198,Gd,14260,84,5,8,1145,2000,2000,250000
2046,Mn,0,2046,834,2046,Gd,11844,82,5,8,2046,2008,2008,372500
729,Gd,604,125,406,1446,TA,21872,22,5,7,729,1996,1997,175000
1561,No,1153,408,556,1561,Ex,7313,47,5,9,1561,2005,2005,277500
882,No,138,276,461,882,TA,7700,0,5,5,882,1972,1972,112500
912,No,0,912,615,2094,Gd,9375,182,5,7,912,2003,2004,263000
1500,Av,1032,431,712,2622,Gd,12256,32,5,8,1463,1994,1995,325000
2158,Av,477,725,576,2158,Gd,12615,29,7,6,1202,1950,2001,243000
1360,No,384,0,572,1360,TA,7134,50,5,5,384,1955,1955,130000
1310,Av,24,1286,400,1310,Gd,8767,0,5,7,1310,2005,2005,164990
1836,Mn,1039,797,862,1836,Gd,11362,185,5,8,1836,2004,2005,280000
1490,No,689,773,810,2794,Ex,15138,146,5,8,1462,1995,1996,403000
1728,No,40,1424,352,1728,TA,10624,0,4,5,1728,1964,1964,119000
825,No,180,0,720,825,TA,8235,50,7,5,825,1955,1995,125000
894,Av,182,0,308,894,TA,10650,0,6,5,894,1976,1976,128200
918,No,226,192,440,1683,TA,11184,0,5,6,918,1978,1978,172500
930,None,0,0,308,930,Gd,11100,0,7,4,0,1946,2006,84900
1572,Av,1016,556,726,2668,Ex,13688,0,5,9,1572,2003,2004,412500
1073,No,836,237,515,1073,TA,10289,0,7,5,1073,1965,1965,156000
1334,No,686,664,630,1334,TA,9650,16,5,6,1350,1977,1977,167900
788,No,266,522,0,788,TA,7446,0,5,4,788,1941,1950,100000
1644,Gd,1518,0,569,1644,Gd,12800,0,5,7,1518,1989,1989,275000
872,No,0,858,480,872,TA,8294,0,5,4,858,1971,1971,123000
768,No,0,264,360,1432,TA,9600,0,7,5,264,1910,2002,132000
901,No,0,893,800,1801,Gd,10463,116,5,8,893,2005,2005,239900
1121,No,651,470,480,1121,TA,8816,80,6,5,1121,1963,1963,139000
789,No,104,516,250,789,TA,6000,0,5,5,789,1948,1950,115000
1054,Gd,763,173,480,1054,Gd,8800,0,7,6,936,1963,1963,137500
1048,No,586,462,286,1048,TA,10152,20,5,5,1048,1956,1956,135000
1236,No,360,710,447,1236,Gd,10011,0,6,5,1070,1957,1996,134450
1152,Av,1014,138,484,1152,TA,14112,0,7,5,1152,1964,1964,180500
