1stFlrSF,BsmtExposure,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,KitchenQual,LotArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1828,Av,48,1774,774,1828,Gd,11694,108,5,9,1822,2007,2007,314813
894,No,0,894,308,894,TA,6600,0,5,5,894,1962,1962,109500
964,No,713,163,432,964,TA,13360,0,7,5,876,1921,2006,163500
1689,No,1218,350,857,1689,Gd,13265,59,5,8,1568,2002,2002,271000
1541,No,0,1541,843,1541,Gd,13704,81,5,7,1541,2001,2002,205000
1221,No,410,811,400,1221,Gd,7500,113,5,7,1221,2004,2005,185000
1324,No,643,445,440,1324,TA,8658,138,5,6,1088,1965,1965,160000
696,No,604,92,484,1416,Gd,2572,44,5,7,696,1999,1999,155000
526,Gd,462,0,297,988,TA,1596,101,5,4,462,1973,1973,91000
869,No,375,360,440,1218,TA,6000,0,6,6,735,1941,1950,131000
760,No,0,746,397,1656,Gd,6931,128,5,7,746,2003,2004,165400
1362,Av,20,1342,460,1362,Gd,7577,28,5,6,1362,2005,2006,194700
1051,No,0,756,442,1839,TA,7700,124,5,6,756,1966,1966,155000
1375,No,0,1367,451,1375,TA,11310,30,5,6,1367,1954,1954,140000
1122,No,144,172,528,1122,Gd,12000,36,7,5,924,1948,2005,147000
1432,Gd,680,289,588,1432,Gd,16157,180,7,5,1360,1978,1978,194000
728,Av,0,728,400,1456,Gd,9018,24,5,7,728,2007,2007,179540
1217,Av,611,577,497,1217,Gd,9947,27,5,7,1188,1990,1991,173000
1040,None,0,0,625,1040,TA,7200,0,7,5,0,1950,1950,109500
612,Av,294,318,528,1224,Gd,3000,234,5,6,612,2009,2009,173733
1022,No,0,952,468,1774,TA,6120,0,5,7,952,1931,1950,129900
961,No,241,229,384,1367,TA,8405,130,8,5,861,1900,1950,119000
803,No,0,803,297,1360,Gd,7200,65,6,5,803,1938,1995,125500
848,Av,697,151,420,848,Gd,4426,0,5,6,848,2004,2004,149300
1482,Gd,871,611,749,2262,Gd,12244,0,5,8,1482,2003,2003,305000
1220,No,836,0,396,1220,TA,8877,0,5,4,836,1951,1951,102000
1414,No,0,1375,398,1414,Gd,3072,20,5,7,1375,2004,2004,178740
1134,No,319,416,396,2058,TA,9600,0,5,6,735,1917,1950,129500
1088,No,0,901,0,1198,TA,5586,98,7,6,901,1920,1998,79900
1659,No,1158,343,499,1659,Ex,5664,59,5,8,1501,2000,2000,278000
1012,No,0,1012,308,1012,TA,8263,22,5,6,1012,1920,1950,118400
1687,No,523,301,672,3082,TA,15863,63,3,7,824,1920,1970,197000
1032,No,0,360,672,1812,Gd,7630,0,9,5,360,1900,1996,140000
1057,No,738,319,650,1929,Gd,7050,235,5,7,1057,2001,2001,226000
954,Av,483,428,576,954,TA,10780,0,5,5,911,1976,1976,132500
1838,Av,1260,578,765,1838,Ex,14601,68,5,9,1838,2006,2006,315000
1640,No,728,568,924,1640,Gd,14778,0,7,6,1296,1954,2006,224000
1148,No,1148,0,672,1148,TA,7931,0,5,5,1148,1959,1959,132500
950,No,412,251,280,950,TA,9758,0,5,5,950,1971,1971,119500
1065,No,380,397,471,1911,Gd,9554,81,5,8,777,1993,1994,215000
915,No,300,765,440,1635,TA,8737,38,7,6,1065,1923,1950,210000
1316,Av,0,1316,440,1316,Gd,11175,20,5,7,1316,2007,2007,200141
1442,No,0,1442,615,1442,TA,11717,0,6,6,1442,1970,1970,185000
1078,No,734,344,500,1078,TA,12537,0,6,5,1078,1971,2008,149900
1120,No,932,108,544,1120,Fa,6970,0,5,4,1040,1961,1961,129000
779,No,353,55,527,1419,Gd,7750,0,5,8,408,2002,2002,184100
707,No,0,651,240,1389,TA,3378,0,8,7,651,1946,1992,135000
1063,No,354,412,280,1063,TA,9920,0,5,5,1056,1954,1954,128000
1792,Gd,1567,225,874,1792,Ex,11846,49,5,9,1792,2003,2004,374000
1216,No,897,319,402,1216,TA,4500,125,5,6,1216,1998,1998,164000
998,No,0,596,576,1762,Gd,7200,0,7,7,596,1920,1950,157000
847,Av,0,847,434,1959,Gd,11796,48,5,7,847,2004,2005,215000
1208,No,767,441,546,1208,TA,11250,42,6,6,1208,1977,1977,165000
874,No,460,414,315,1524,TA,11344,0,5,5,874,1958,1958,144000
796,No,735,61,240,1154,Gd,5436,96,8,4,796,1922,2007,125500
1048,None,0,0,420,1048,TA,7200,27,5,5,0,1950,1950,98300
886,No,0,190,273,886,TA,5784,20,8,5,190,1938,1996,91300
943,Gd,943,0,600,943,TA,7032,0,5,5,943,1979,1979,135960
866,No,400,466,603,1768,Gd,9803,108,5,7,866,2005,2005,226700
1422,No,0,1393,779,2599,Gd,14774,30,5,9,1393,1999,1999,333168
912,No,456,456,275,912,TA,10150,0,5,5,912,1958,1958,114500
882,None,0,0,308,882,TA,12702,45,5,5,0,1956,1956,97000
1337,No,266,1139,511,1337,Gd,4060,68,5,6,1405,1998,1999,181000
2076,Gd,1386,690,850,2076,Ex,13891,229,5,10,2076,2006,2006,465000
1328,Av,56,1198,752,2531,Gd,12257,98,5,8,1318,1995,1995,290000
981,No,569,162,240,1768,Gd,7200,0,7,5,731,1937,1950,175000
1625,Gd,1573,0,538,1625,Gd,4750,0,5,8,1573,2006,2007,235000
1444,Gd,697,747,389,2144,Gd,159000,98,7,6,1444,1958,2006,277000
1521,No,0,1237,880,2775,Gd,13500,502,9,10,1237,1893,2000,325000
1140,No,0,585,477,1868,TA,12090,112,7,6,585,1984,2003,178000
1525,Av,1400,125,541,1525,Gd,9100,36,5,7,1525,2000,2000,235000
1571,Gd,0,1571,722,1571,Gd,10991,36,5,8,1571,2007,2007,239000
796,No,0,796,0,796,TA,8777,0,7,5,796,1910,1950,85000
1378,No,0,994,432,2372,TA,6600,287,4,5,994,1892,1965,107500
802,No,0,384,402,1472,Gd,10784,0,5,7,384,1991,1992,160000
960,Av,648,0,364,960,TA,10246,0,9,4,648,1965,2001,145000
734,Av,0,732,372,1838,TA,21930,40,5,5,732,2005,2005,192140
1309,No,663,0,484,1309,Gd,10140,0,6,6,1040,1974,1999,181000
2069,Av,0,2153,694,2643,Ex,13693,84,5,9,2153,2006,2006,380000
676,No,0,676,200,1131,TA,5720,0,6,5,676,1941,1950,66500
960,No,0,960,400,1960,TA,7596,0,5,5,960,1952,1952,124500
1144,No,25,247,336,1144,TA,9204,88,5,5,1144,1963,1963,124000
1056,No,1056,0,576,1056,TA,6979,56,5,6,1056,1980,1980,144000
693,No,0,693,0,693,Fa,4118,20,4,4,693,1941,1950,52500
1494,Gd,1200,279,576,1494,Gd,9236,27,5,6,1479,1997,1997,217000
1646,Gd,1373,221,482,1646,Gd,3842,53,5,8,1594,2004,2005,275000
864,Av,390,474,352,864,TA,7180,0,7,5,864,1972,1972,127000
1566,Av,1078,488,750,1566,Gd,9000,168,5,8,1566,2008,2008,262500
735,No,593,130,497,1395,TA,12936,116,6,6,723,1972,1972,162000
848,No,152,628,539,1208,TA,6240,23,5,4,780,1925,1950,103000
939,Mn,0,939,180,1513,TA,6120,0,8,5,939,1920,2004,137500
959,No,425,459,560,1367,TA,6240,0,6,6,884,1931,1950,127500
955,No,763,192,386,955,TA,7742,0,7,5,955,1966,1966,127000
1077,No,0,1007,210,1077,TA,9786,100,4,3,1007,1922,1950,91000
1056,Mn,1056,0,572,1056,TA,34650,0,5,5,1056,1955,1955,145000
756,No,0,756,615,1553,Gd,8125,45,5,7,756,2005,2006,186500
1614,Av,20,1594,865,1614,Gd,11210,59,5,7,1614,2005,2006,221500
2042,No,0,2042,1390,2042,Ex,12704,90,5,8,2042,2008,2009,253293
1073,No,0,1073,326,1073,TA,5400,0,6,5,1073,1921,1968,108480
1072,No,336,295,240,1285,TA,8635,0,5,5,672,1948,2001,127000
2117,Mn,865,340,550,2117,TA,12925,42,7,6,1205,1970,1970,237500
605,Mn,348,180,0,605,TA,9098,0,7,4,528,1920,2002,86000
1150,No,179,465,300,1150,TA,7945,0,6,5,1150,1959,1959,141000
728,No,0,728,400,1456,Gd,8029,24,5,6,728,2005,2005,176000
999,Av,867,77,588,999,Ex,12122,76,9,7,944,1961,2007,178400
750,No,0,750,564,1500,Gd,8846,35,5,6,750,2005,2006,173900
1336,Mn,841,324,375,1336,TA,15750,0,5,5,1165,1953,1953,157000
864,No,759,80,398,1593,TA,7415,75,5,6,839,2004,2004,193000
1130,Av,936,168,836,2184,Ex,11308,102,5,9,1104,2008,2008,335000
1560,No,0,1560,573,1560,Gd,9196,150,5,7,1560,2003,2003,201000
888,No,386,342,312,1644,Gd,9480,0,7,5,728,1942,1995,146500
630,Av,515,115,286,630,Gd,1526,0,8,4,630,1970,2002,86000
1113,No,751,392,504,1113,TA,7917,30,7,6,1143,1976,1976,148000
1071,No,0,1063,947,2172,Gd,14154,62,5,7,1063,2006,2006,280000
796,No,0,560,384,1346,TA,11767,24,7,4,560,1910,2000,112000
1184,Av,64,1120,550,2610,Ex,9000,364,5,8,1184,2007,2007,303477
1026,No,0,1026,936,1958,Gd,10625,210,5,7,1026,2005,2005,250000
1468,No,0,1468,898,1468,Gd,9612,150,5,8,1468,2008,2009,244600
1302,None,0,0,539,1734,Gd,10125,0,5,5,0,1977,1977,126000
768,No,352,416,240,1200,TA,11767,0,6,5,768,1946,1995,130500
1112,No,812,280,438,1550,Gd,8125,168,5,7,1092,2006,2007,241000
954,No,0,795,440,2230,TA,6204,188,5,4,795,1912,1950,118500
1166,No,0,1064,240,1639,TA,10480,0,5,6,1064,1936,1950,115000
864,No,521,169,624,864,TA,9100,0,5,5,864,1958,1958,129900
1621,Mn,213,995,440,1621,Gd,14145,45,7,7,1208,1984,1998,202500
483,No,162,321,264,987,Gd,1680,0,8,6,483,1972,2007,118000
1238,Gd,965,245,628,2519,Gd,26178,27,5,7,1210,1989,1990,335000
765,No,765,0,440,1365,TA,2368,36,6,5,765,1970,1970,125000
1149,Mn,0,1128,779,2290,Gd,11250,0,5,8,1128,2002,2002,255900
1249,Av,0,1249,840,2596,Gd,16259,154,5,9,1249,2006,2006,342643
907,No,288,619,352,907,TA,8593,0,6,4,907,1957,1957,109008
855,No,566,289,440,1456,TA,2280,0,6,6,855,1976,1976,148500
1190,Av,803,303,540,1190,TA,7728,18,6,5,1106,1962,1962,132500
858,No,322,536,684,858,TA,7340,0,6,4,858,1971,1971,110000
2223,Gd,1880,343,516,2223,TA,13651,0,6,7,2223,1973,1973,244000
1005,No,0,1005,672,1005,Fa,10434,0,5,4,1005,1955,1955,115000
1086,No,0,712,409,1895,Gd,10832,46,5,7,712,1994,1996,194500
1040,No,906,134,384,1040,TA,11200,0,5,5,1040,1965,1965,129500
1264,No,697,571,461,1264,TA,9300,0,5,5,1268,1960,1960,167500
874,No,0,874,578,1761,Gd,10207,105,6,7,874,2007,2007,227875
1034,Av,539,473,888,1034,TA,12328,0,5,6,1012,1976,1976,169900
1363,Gd,226,96,439,1363,TA,39104,0,7,7,1385,1954,2005,241500
1689,No,0,1436,480,1689,TA,9855,0,5,6,1436,1956,1956,127500
2113,Gd,1696,413,839,2113,Gd,10437,46,6,8,2109,1995,1995,350000
1573,No,788,785,544,1573,Gd,9808,72,5,7,1573,2002,2002,227000
2364,Gd,2188,142,820,2364,Ex,12919,67,5,9,2330,2009,2010,611657
1057,No,739,318,645,2034,Gd,9375,36,5,7,1057,1997,1998,219500
1291,Mn,1003,288,431,1291,Gd,2887,0,5,6,1291,1996,1997,173000
858,Gd,696,162,0,858,TA,7207,0,7,5,858,1958,2008,116500
698,Mn,204,356,280,1258,TA,9060,0,5,6,560,1939,1950,105000
438,No,290,0,246,438,Fa,8400,0,5,2,290,1920,1950,60000
672,No,209,463,440,1400,TA,7844,0,7,6,672,1978,1978,149500
954,No,0,920,240,954,Fa,6305,0,7,5,920,1938,1950,119750
1445,Gd,564,563,645,1445,TA,12095,0,6,6,1127,1964,1964,158000
1072,Gd,459,88,525,1072,TA,3675,28,5,6,547,2005,2005,148000
1664,None,0,0,0,1664,TA,9825,0,5,5,0,1965,1965,100000
1445,No,0,844,441,2134,Gd,11888,60,6,6,844,1916,1994,214500
1940,Mn,428,537,380,3194,TA,12168,0,6,8,965,1934,1998,359100
912,Av,0,912,0,1824,TA,9400,0,5,6,912,1971,1971,139000
888,No,742,130,422,1756,TA,9303,122,5,6,872,1996,1997,204000
912,No,595,317,576,912,Gd,8872,240,8,5,912,1965,2008,147000
1509,Av,783,678,600,1509,Gd,10200,0,5,6,1461,1988,1989,175000
1160,No,264,712,216,1608,Gd,6171,16,6,6,976,1925,1990,137450
1316,No,28,1288,397,1316,Gd,10237,0,5,6,1316,2005,2006,169990
1015,No,489,279,450,1015,TA,6120,0,7,5,768,1925,1950,88000
756,No,312,444,240,1134,TA,8160,0,6,5,756,1940,1950,126000
1636,No,63,1560,865,1636,Gd,13501,60,5,8,1623,2006,2006,255000
660,No,0,660,400,1320,Gd,7750,48,5,7,660,2003,2003,162000
