2ndFlrSF,GarageArea,OverallQual,TotalBsmtSF
0.0,774,9,1822
0.0,308,5,894
0.0,432,5,876
0.0,857,8,1568
0.0,843,7,1541
0.0,400,7,1221
0.0,440,6,1088
720.0,484,7,696
462.0,297,4,462
349.0,440,6,735
896.0,397,7,746
0.0,460,6,1362
788.0,442,6,756
0.0,451,6,1367
,528,5,924
0.0,588,5,1360
728.0,400,7,728
0.0,497,7,1188
0.0,625,5,0
612.0,528,6,612
752.0,468,7,952
406.0,384,5,861
557.0,297,5,803
0.0,420,6,848
780.0,749,8,1482
0.0,396,4,836
0.0,398,7,1375
924.0,396,6,735
110.0,0,6,901
0.0,499,8,1501
0.0,308,6,1012
998.0,672,7,824
,672,5,360
872.0,650,7,1057
0.0,576,5,911
0.0,765,9,1838
0.0,924,6,1296
0.0,672,5,1148
0.0,280,5,950
846.0,471,8,777
720.0,440,6,1065
0.0,440,7,1316
0.0,615,6,1442
0.0,500,5,1078
0.0,544,4,1040
640.0,527,8,408
682.0,240,7,651
0.0,280,5,1056
0.0,874,9,1792
,402,6,1216
764.0,576,7,596
1112.0,434,7,847
,546,6,1208
650.0,315,5,874
358.0,240,4,796
0.0,420,5,0
0.0,273,5,190
0.0,600,5,943
902.0,603,7,866
1177.0,779,9,1393
0.0,275,5,912
0.0,308,5,0
0.0,511,6,1405
0.0,850,10,2076
1203.0,752,8,1318
787.0,240,5,731
0.0,538,8,1573
700.0,389,6,1444
,880,10,1237
728.0,477,6,585
0.0,541,7,1525
0.0,722,8,1571
0.0,0,5,796
994.0,432,5,994
670.0,402,7,384
0.0,364,4,648
1104.0,372,5,732
0.0,484,6,1040
574.0,694,9,2153
455.0,200,5,676
1000.0,400,5,960
0.0,336,5,1144
0.0,576,6,1056
0.0,0,4,693
0.0,576,6,1479
0.0,482,8,1594
0.0,352,5,864
0.0,750,8,1566
660.0,497,6,723
0.0,539,4,780
574.0,180,5,939
408.0,560,6,884
0.0,386,5,955
0.0,210,3,1007
0.0,572,5,1056
797.0,615,7,756
0.0,865,7,1614
0.0,1390,8,2042
0.0,326,5,1073
213.0,240,5,672
0.0,550,6,1205
0.0,0,4,528
